monthly_income,housing_expense,food_expense,transport_expense,utilities_expense,other_expense,total_debt,num_active_loans,has_defaulted,payment_regularity,has_savings,monthly_savings,mobile_money_frequency,age,employment_type,num_dependents,total_expenses,debt_to_income_ratio,expense_ratio,savings_rate,housing_burden,discretionary_ratio,net_monthly_cash_flow,affordability_index,debt_service_ratio,savings_consistency,payment_score,mobile_money_score,employment_encoded,dependency_burden,high_debt_flag,deficit_flag,overextended_flag,housing_stress_flag,credit_score
2818.78,82.79,1187.43,232.92,185.96,469.67,650.22,1,0,always,1,671.56,never,26,employed,0,2158.77,0.2307,0.7659,0.2382,0.0294,0.4834,-11.55,-0.0041,0.0069,0.2382,1.0,0.0,3,0.0,0,1,0,0,708
7256.09,826.16,1408.01,823.13,2180.12,1084.19,3203.45,4,0,rarely,0,0.0,weekly,46,employed,1,6321.61,0.4415,0.8712,0.0,0.1139,0.3916,934.48,0.1288,0.0132,0.0,0.0,0.75,3,0.1378,1,0,1,0,599
1303.11,259.65,252.56,302.68,84.74,16.89,2127.14,2,0,always,1,58.4,daily,56,student,3,916.52,1.6324,0.7033,0.0448,0.1993,0.5419,328.19,0.2519,0.049,0.0448,1.0,1.0,1,2.3022,1,0,0,0,698
3763.99,974.68,406.78,325.0,171.85,925.86,1709.76,0,0,always,1,537.65,weekly,50,self_employed,0,2804.17,0.4542,0.745,0.1428,0.2589,0.5873,422.17,0.1122,0.0136,0.1428,1.0,0.75,2,0.0,1,0,0,0,753
4533.99,313.65,1111.74,644.17,170.65,1248.1,272.03,2,0,sometimes,1,850.08,weekly,51,employed,2,3488.31,0.06,0.7694,0.1875,0.0692,0.648,195.6,0.0431,0.0018,0.1875,0.5,0.75,3,0.4411,0,0,0,0,850
800.0,63.7,238.08,22.67,93.51,13.29,1435.69,1,1,always,0,0.0,never,26,unemployed,4,431.25,1.7946,0.5391,0.0,0.0796,0.5059,368.75,0.4609,0.0538,0.0,1.0,0.0,0,5.0,1,0,0,0,450
800.0,213.81,132.69,191.11,62.89,57.17,234.82,2,0,always,1,134.7,monthly,50,unemployed,2,657.67,0.2935,0.8221,0.1684,0.2673,0.4883,7.63,0.0095,0.0088,0.1684,1.0,0.4,0,2.5,0,0,0,0,793
2877.14,612.1,249.17,573.34,483.01,342.38,427.0,1,0,sometimes,0,0.0,monthly,60,employed,2,2260.0,0.1484,0.7855,0.0,0.2127,0.5328,617.14,0.2145,0.0045,0.0,0.5,0.4,3,0.6951,0,0,0,0,799
6825.35,1810.85,1054.11,281.44,1189.45,1282.65,108.25,1,0,sometimes,1,1651.79,weekly,23,employed,0,5618.5,0.0159,0.8232,0.242,0.2653,0.406,-444.94,-0.0652,0.0005,0.242,0.5,0.75,3,0.0,0,1,0,0,705
5134.53,936.92,970.41,189.83,328.21,282.55,5749.31,2,0,always,1,997.66,daily,31,self_employed,0,2707.92,1.1197,0.5274,0.1943,0.1825,0.5646,1428.95,0.2783,0.0336,0.1943,1.0,1.0,2,0.0,1,0,0,0,740
